sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID
en	es-419	about how long have these symptoms been going on?	¿cuánto hace más o menos que tiene estos síntomas?	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and all chest pain should be treated this way especially with your age	"y siempre el dolor de pecho debe tratarse de esta manera, en especial a su edad"	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and along with a fever	y también fiebre	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and also needs to be checked your cholesterol blood pressure	y también debe controlarse su colesterol y presión arterial	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and are you having a fever now?	¿y tiene fiebre ahora?	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and are you having this chest pain now?	¿y siente este dolor de pecho ahora?	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and besides do you have difficulty breathing	y también tiene dificultad para respirar	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and can you tell me what other symptoms are you having along with this?	¿y puede decirme qué otros síntomas tiene además de este?	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and how high has your fever been	y cuánto ha tenido de fiebre	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and i have a cough too	y también tengo tos	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
