sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID
en	ur	about how long have these symptoms been going on?	یہ علامات کتنے عرصے سے جاری ہیں؟	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001
en	ur	and all chest pain should be treated this way especially with your age	اور سینے کی تمام تکالیف کا ایسے ہی علاج ہونا چاہیے خاص طور پر آپ کی عمر میں	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001
en	ur	and along with a fever	اور بخار کے ساتھ	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001
en	ur	and also needs to be checked your cholesterol blood pressure	اور آپ کا کولیسٹرول بلڈ پریشر چیک کرنے کی بھی ضرورت ہے	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001
en	ur	and are you having a fever now?	اور کیا آپ کو اب بھی بخار ہو رہا ہے؟	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001
en	ur	and are you having this chest pain now?	اور کیا آپ کو اب سینے میں یہ درد ہو رہا ہے؟	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001
en	ur	and besides do you have difficulty breathing	اور اس کے علاوہ بھی آپ کو سانس لینے میں مشکل ہوتی ہے	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001
en	ur	and can you tell me what other symptoms are you having along with this?	اور کیا آپ مجھے بتا سکتے ہیں کہ اس کے ساتھ آپ کو دیگر اور کون سی علامات کا سامنا ہے؟	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001
en	ur	and how high has your fever been	اور آپ کو کتنا زیادہ بخار ہوا ہے	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001
en	ur	and i have a cough too	اور مجھے کھانسی بھی ہے	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001
